"","Acadia","American_Samoa","Arches","Badlands","Big_Bend","Biscayne","Black_Canyon_of_the_Gunnison","Bryce_Canyon","Canyonlands","Capitol_Reef","Carlsbad_Caverns","Channel_Islands","Congaree","Crater_Lake","Cuyahoga_Valley","Death_Valley","Denali","Dry_Tortugas","Everglades","Gates_of_the_Arctic","Glacier","Glacier_Bay","Grand_Canyon","Grand_Teton","Great_Basin","Great_Sand_Dunes","Great_Smoky_Mountains","Guadalupe_Mountains","Haleakalā","Hawaii_Volcanoes","Hot_Springs","Isle_Royale","Joshua_Tree","Katmai","Kenai_Fjords","Kings_Canyon","Kobuk_Valley","Lake_Clark","Lassen_Volcanic","Mammoth_Cave","Mesa_Verde","Mount_Rainier","North_Cascades","Olympic","Petrified_Forest","Pinnacles","Redwood","Rocky_Mountain","Saguaro","Sequoia","Shenandoah","Theodore_Roosevelt","Virgin_Islands","Voyageurs","Wind_Cave","Wrangell_–St._Elias","Yellowstone","Yosemite","Zion"
"Lassen_Volcanic",4323588.96095985,7926999.30421333,1043113.36230167,1607180.3989605,2077779.5379349,4156251.52288064,1201833.8646298,869259.285275383,1028121.33568699,925294.420571109,1784485.83618343,744676.021339085,3657422.4048953,277101.996263559,3335093.91314927,625416.161002769,3172547.43460346,3990394.96576746,4106264.74053976,3592146.1379581,1098563.97625683,2283929.59375264,955081.738484038,954266.432334436,639483.229422401,1413627.75304009,3344338.80137532,1768564.71363832,3944027.2648711,3970651.18419163,2587664.36552564,2735237.04370236,896254.152378455,3088507.97545439,2905948.15238445,484654.082240865,3777533.6563577,3142999.14742247,0,3071784.26412529,1186257.46297971,708254.641802825,914261.103720925,847582.639566239,1193953.68942118,447430.558271749,228093.923678354,1347747.70234117,1345306.69642329,514820.695201957,3676106.81754689,1616791.16551189,5916674.08508158,2424309.8334116,1526470.28588116,2675762.11953076,1011094.65343313,343167.42460313,813975.164088893
"Mammoth_Cave",1701376.3232885,10502773.0893709,2061883.25884787,1565817.54626233,1820796.20102528,1404301.36404845,1901646.08013599,2300091.935628,2096482.87423167,2204613.71292683,1765743.51913588,3021104.69883903,612856.719408304,3108660.17246701,598382.551139213,2731487.74578856,5121684.83433864,1430439.29075127,1408287.6695867,5282387.51736774,2592804.55476457,4334662.88704718,2322607.42479986,2205680.57492786,2469262.8031726,1713262.41733118,284351.26754199,1814086.84557223,6913660.12105516,6907698.51053343,693756.842577396,1231877.09083156,2716094.97909734,5377557.76589548,5065971.32700793,2871372.28569574,5534474.36683881,5271334.92555596,3071784.26412529,0,1981175.2876742,3107072.73906739,3099491.60710841,3254035.11492186,2136534.55465255,3106933.43498978,3273370.92610801,1724037.99617299,2292143.79448348,2890727.90498936,697325.48711848,1794049.44221149,2958044.2832994,1374947.03141376,1632259.86971788,4656676.97215024,2202690.87161407,2934602.95805597,2380238.27857843
"Mesa_Verde",3451831.30151614,8659386.09638634,192023.573682468,889529.629117765,1008220.24353481,2972945.51704845,168878.273392021,329281.716614686,170241.478570997,261953.624516209,669537.176852079,1049645.82352447,2531052.04838599,1322726.10707311,2357295.12990789,750457.49105253,4042866.45276129,2804165.62556027,2921321.85736957,4381308.85741708,1368195.17401415,3142200.72544813,349102.45870686,754851.008852422,546982.809499922,270349.614399846,2235332.14714374,672918.131908764,4932880.9760276,4929595.80872296,1422858.23090933,2025566.02909845,770069.965983264,4085432.98353627,3846634.922161,895067.829428673,4601380.03619001,4081728.88434297,1186257.46297971,1981175.2876742,0,1532733.41651453,1643871.31431729,1713740.75734485,261955.306871815,1130763.7205527,1411323.30694305,438387.976524429,578759.609030622,911630.151281156,2641545.51651204,1166030.335623,4740334.99276897,1785459.41818174,828172.813745349,3531183.25382764,843054.389315996,974410.766155364,404299.141842058
"Mount_Rainier",4097736.51560892,8368189.28015694,1345462.71558692,1542065.82236115,2529978.26899114,4349650.73559926,1468128.11685686,1297858.96221935,1363719.08835385,1294055.1692282,2199301.27610537,1442732.75752135,3718000.9986873,436132.084449295,3239849.37718094,1249816.40459389,2550990.64627341,4230132.95327527,4313915.39983649,2937743.33776233,618222.04814139,1647702.39503149,1441718.02901131,924205.854815521,1064939.95495557,1673489.73328178,3390915.34648152,2197527.51973331,4252988.59217879,4308446.77748729,2762494.45667173,2482485.23337024,1535149.45694322,2553931.08694646,2325737.18543838,1149550.52167841,3138029.28478024,2562623.11164708,708254.641802825,3107072.73906739,1532733.41651453,0,210009.648670049,181444.737568144,1648917.03158345,1155415.72518473,643418.086026103,1483667.92849378,1886082.03382766,1187475.41197382,3620276.98702075,1388564.7760078,6050188.06338651,2158806.42217775,1474885.32165981,2042423.65069335,908518.465794082,1020904.7803146,1281555.87258224
"North_Cascades",4004871.29707548,8533997.50246111,1452833.88688731,1537064.55591835,2650292.02873314,4379220.74354,1561111.54010346,1437123.27036516,1478478.28038558,1419738.34152727,2313408.22801009,1641910.08347716,3712283.88179,644977.291786268,3191932.26715934,1432273.61818657,2406197.55738909,4274304.04153108,4347965.33780256,2773939.0676865,528386.173700634,1502571.14464975,1589492.08856564,972216.645223188,1214395.75889398,1757470.16053478,3383834.23383028,2315532.67611276,4396795.63522345,4458612.09674527,2800289.37068904,2395493.50223285,1716943.03175215,2450066.32090285,2203051.80450388,1342070.77992027,2981447.30353697,2437891.87015113,914261.103720925,3099491.60710841,1643871.31431729,210009.648670049,0,188598.832486206,1783848.24488453,1360328.0744255,852577.875299573,1540769.48424412,2038435.71396678,1381217.81114655,3580757.60197012,1337153.73250322,6054122.05476513,2072896.41089785,1477002.04428478,1894902.43997445,935191.307017008,1217778.52961365,1430080.91652171
"Olympic",4190093.61811347,8352868.5688057,1526055.24995347,1688417.97280727,2711422.13030037,4513319.91033542,1647002.73843699,1478632.12011113,1544883.4235603,1475498.67296571,2380620.92713673,1590780.57498712,3866203.64165712,570481.40999333,3364192.43867779,1416190.54752124,2373997.16390685,4398832.20900042,4479206.28333135,2767346.75867237,707908.2410079,1471794.77039547,1621202.73148176,1090224.18455099,1244629.09810394,1851006.334222,3538287.65960545,2378951.38368931,4210053.3813793,4273150.71371989,2928409.77179717,2578987.18016494,1701117.82118625,2372539.95526928,2144990.35651194,1307635.0714718,2964425.06062573,2382010.39466967,847582.639566239,3254035.11492186,1713740.75734485,181444.737568144,188598.832486206,0,1829888.76523585,1293355.62332541,743551.958591944,1654350.53281098,2064207.27969964,1344010.09862923,3749981.7334175,1508573.66862873,6203652.45391625,2255932.44769569,1624475.00737173,1866654.49223669,1066503.24787136,1174530.16987106,1461090.55062172
"Petrified_Forest",3663680.75451168,8444248.47410631,402297.845178668,1150308.39390526,893092.402172236,3025440.37116389,430665.137945236,351804.316731965,348687.383901805,369878.914067815,590827.91613371,891439.500417771,2657400.33733265,1377060.09705676,2552177.27415587,649802.268317021,4189975.78325811,2834199.27434335,2967087.58604322,4548195.21232383,1567210.85074231,3286091.33400398,240438.683979308,967988.439872146,592134.812707365,483700.15514266,2376518.75933039,574946.357158107,4787277.25419596,4775197.31585033,1528951.28818239,2273192.87516116,579601.84025193,4197714.04951365,3974619.05555832,813258.631696297,4761798.81067715,4211398.00109675,1193953.68942118,2136534.55465255,261955.306871815,1648917.03158345,1783848.24488453,1829888.76523585,0,1039070.05774956,1421862.91630107,698902.102662963,320927.990148697,817871.318899106,2814077.56036855,1426193.40587207,4803242.6156881,2041043.42110298,1089924.59600787,3678749.88967875,1062645.84008635,922435.128497049,384587.0654318
"Pinnacles",4492403.95253754,7672795.4859185,1050599.71663837,1777236.29056143,1853919.35117472,4064509.30173555,1207986.96970288,806938.310217137,1011504.42891727,904162.565573368,1607769.51941724,317200.643821002,3661798.45174998,723600.767128261,3443911.65197216,389948.5031964,3588021.85062452,3870458.01064759,4005874.92654357,4020032.90530924,1489885.46962221,2709760.25239814,810596.905780466,1193866.60090499,664763.379908711,1394723.9827109,3364930.11660656,1580980.40407431,3815698.73725604,3821397.07967493,2548072.78165499,2951107.55085051,564635.352213639,3466781.35592801,3305648.39531946,235830.612103394,4198566.16040264,3541052.62614916,447430.558271749,3106933.43498978,1130763.7205527,1155415.72518473,1360328.0744255,1293355.62332541,1039070.05774956,0,590202.270045089,1424542.47890619,1085957.12682514,222115.157680558,3753237.1561674,1870951.71952198,5842115.08366608,2656931.93110566,1696411.52785324,3098336.45530114,1274744.99806017,210409.640278818,727565.649722573
"Redwood",4478904.88426048,7825721.88373232,1263158.49626004,1779658.35936582,2304231.99481008,4378158.46877943,1420162.73610437,1096624.99224549,1251053.02557261,1149740.13890043,2012482.55549169,906006.007912492,3864303.36982272,240697.421422323,3515394.82650115,839450.181744908,2997857.40813284,4215280.44552333,4329182.71052834,3431318.55167406,1145093.5998122,2120956.23972844,1182728.2978838,1115035.03496462,864372.545506011,1633385.03893368,3548451.90204552,1996323.58581998,3793240.02643092,3828378.03011349,2805029.09872354,2877326.87097485,1098946.39976918,2888225.42337243,2718244.4349654,687400.130455387,3608485.61389754,2954262.65934291,228093.923678354,3273370.92610801,1411323.30694305,643418.086026103,852577.875299573,743551.958591944,1421862.91630107,590202.270045089,0,1551365.92803333,1566348.50865291,711401.816968,3864881.49960056,1752566.64842102,6135023.96893485,2560847.15599419,1700261.76242636,2508605.47538422,1158059.23634485,546050.870634379,1042044.53074158
"Rocky_Mountain",3077371.98174847,9050457.92387529,392354.569184265,451406.39917531,1259201.95984217,2874200.9395151,274396.535237839,651965.249576848,447567.494961155,540093.220308167,921827.066986046,1415917.52073193,2313065.86070184,1400062.9118759,2020065.55597948,1084302.37905185,3873319.42439973,2746805.28606452,2834972.40402208,4170494.38859035,1147286.02886117,2989227.65387761,749590.582474809,568571.828749488,763166.160800488,297284.579831787,1997413.08972167,946133.37905676,5236281.00866187,5245265.05672726,1284966.94774827,1600444.61451735,1173776.64894096,3980999.05237957,3715430.51075453,1196025.9098205,4401709.73692097,3945012.31603739,1347747.70234117,1724037.99617299,438387.976524429,1483667.92849378,1540769.48424412,1654350.53281098,698902.102662963,1424542.47890619,1551365.92803333,0,1008422.10629325,1223585.13707543,2340101.69721612,751118.620572568,4603473.52548154,1350160.21277505,393310.512031455,3365969.58810373,617533.588790062,1234408.75852673,733450.019008224
"Saguaro",3882371.26230184,8233446.79580379,720720.564950958,1458193.19989305,769552.926355573,3041757.49383158,747273.798627097,611720.812232993,664371.502559399,665141.029410735,570769.606025161,853997.430189285,2769850.99552592,1566260.63936799,2753545.03335594,731487.368606598,4436959.63427211,2825093.09102699,2975751.42649928,4811952.96510692,1865462.02148752,3533267.69374061,450208.025661927,1278216.18819745,824117.723212016,760791.496981771,2511070.03548228,532210.238728798,4690552.9849337,4665814.40237476,1639353.44134523,2551638.51601142,532302.903342597,4411779.92566433,4204570.19714683,894787.716406564,5019430.24339101,4442142.17674238,1345306.69642329,2292143.79448348,578759.609030622,1886082.03382766,2038435.71396678,2064207.27969964,320927.990148697,1085957.12682514,1566348.50865291,1008422.10629325,0,883705.751191353,2983891.76716534,1744788.68790761,4819759.42438572,2334530.79570538,1401574.58814811,3927710.85412878,1374795.71129693,1028075.69427253,608526.920902931
"Sequoia",4299045.16075361,7847167.08619266,841637.743875132,1596677.89970715,1646718.33617996,3843176.83835813,996140.657551419,591509.506667585,798987.456285758,693233.946974989,1391052.3291592,277668.597168358,3442066.46596384,781486.546044093,3238726.96451521,168128.886727318,3686976.37729344,3650786.13734083,3784951.31432221,4102939.84658737,1428677.0064252,2796382.7928149,588481.988780181,1052928.86502036,478845.353794858,1177547.76256787,3146840.11189662,1365733.13980353,4027025.65249556,4029119.54604697,2326592.45013856,2776609.1283234,387846.977827592,3598121.95477606,3420170.89789986,42794.777087084,4290774.79560986,3657068.50530701,514820.695201957,2890727.90498936,911630.151281156,1187475.41197382,1381217.81114655,1344010.09862923,817871.318899106,222115.157680558,711401.816968,1223585.13707543,883705.751191353,0,3541855.41441621,1720325.92967137,5620445.95655546,2490148.4564868,1516901.99548465,3188989.70511725,1141686.57144364,172000.008145088,510598.5026923
"Shenandoah",1064380.98056106,11200094.4062855,2702650.82417466,2097844.68882107,2511570.6559938,1442963.4351491,2545892.7621185,2950716.0008098,2742943.73371561,2849468.21834234,2462810.71544445,3689474.76472884,572036.646874656,3680899.7031528,407028.999891575,3387509.37056428,5384851.98269954,1605007.80944871,1490404.52326037,5476409.05340568,3055754.15274687,4669323.71789319,2988147.61787607,2763095.77475088,3100700.66972822,2371290.07895965,558549.014502008,2511229.47471519,7568636.25994164,7569824.43261896,1387252.30940771,1345649.4677638,3392027.30930705,5708519.30283903,5380911.00524106,3519404.49690417,5730563.94610009,5568639.3114001,3676106.81754689,697325.48711848,2641545.51651204,3620276.98702075,3580757.60197012,3749981.7334175,2814077.56036855,3753237.1561674,3864881.49960056,2340101.69721612,2983891.76716534,3541855.41441621,0,2243692.03994502,2607188.93811115,1609744.78285518,2173716.76476714,4954569.69242231,2742364.39564024,3571167.07437358,3032405.59424292
"Theodore_Roosevelt",2733916.50128613,9533288.81153536,1048633.09801876,366061.687974347,1972657.38585253,3141953.0018209,997663.7202565,1267916.68821105,1110450.15922327,1162079.16890016,1649679.96703902,1969630.80487423,2404121.66153911,1531880.93988594,1855652.49552736,1628056.59358751,3391646.47459401,3084029.58056092,3124115.6587314,3621326.51668633,812765.480888502,2561709.27945385,1412059.3401775,678330.923226352,1251552.03702825,1042355.34271623,2076196.57110817,1679721.87281032,5545699.48916236,5580104.82482745,1637870.13233412,1125076.86108697,1802715.02158889,3598901.60278522,3297905.71801154,1682156.14658317,3864908.21337718,3512638.7908699,1616791.16551189,1794049.44221149,1166030.335623,1388564.7760078,1337153.73250322,1508573.66862873,1426193.40587207,1870951.71952198,1752566.64842102,751118.620572568,1744788.68790761,1720325.92967137,2243692.03994502,0,4749911.69345765,808778.918341249,378493.557239292,2904816.99658327,607249.907461377,1660680.04723034,1334533.26584737
"Virgin_Islands",2914678.68988773,12165377.8098999,4873568.35342066,4517208.98446288,4086627.62287079,1779672.43891319,4715199.32591205,5068276.78784787,4890813.69278016,4996342.90162497,4255206.01956094,5665776.7366653,2346094.35018123,6002056.34850411,3011612.76515033,5452334.67376469,7991916.46843285,2003392.89182944,1844012.89676571,8074756.95816997,5550776.48517828,7259869.41898525,5033354.91845343,5132855.79880751,5280788.32254907,4503072.42404969,2674517.47851617,4289653.89808847,9450637.76983699,9399022.9502586,3330088.43743463,3952834.70683776,5339636.90197979,8302760.11827563,7979779.05260664,5613236.21220911,8328619.02174614,8172037.27566493,5916674.08508158,2958044.2832994,4740334.99276897,6050188.06338651,6054122.05476513,6203652.45391625,4803242.6156881,5842115.08366608,6135023.96893485,4603473.52548154,4819759.42438572,5620445.95655546,2607188.93811115,4749911.69345765,0,4208062.22027213,4579331.94608291,7556905.8096311,5141695.63433633,5709496.0165783,5138006.75425859
"Voyageurs",1939306.5347277,10329099.0327195,1727202.96466912,910207.140806028,2318675.71949191,2777352.64269386,1624511.30789311,1977006.36450813,1787184.98608551,1864450.71033181,2060272.20730454,2721951.79933076,1921913.14156289,2337906.22573019,1202743.15938514,2379415.96521616,3790437.73119048,2798204.66255563,2783218.90270652,3919687.86413552,1548620.59632735,3059585.93495663,2094930.83694257,1476967.1133601,2012139.2355622,1573996.66969104,1619893.34891539,2102619.0767505,6353496.51761395,6388795.8308613,1557423.08398151,323681.681600585,2513150.25049449,4099140.95607292,3772860.24983972,2454594.67699776,4172956.76380264,3964038.25523302,2424309.8334116,1374947.03141376,1785459.41818174,2158806.42217775,2072896.41089785,2255932.44769569,2041043.42110298,2656931.93110566,2560847.15599419,1350160.21277505,2334530.79570538,2490148.4564868,1609744.78285518,808778.918341249,4208062.22027213,0,984623.156594247,3348844.44294728,1413318.24838648,2448198.24813633,2053238.55140426
"Wind_Cave",2805585.68078214,9364037.03140826,745975.564853436,81426.665246096,1594226.4454821,2909173.34843254,660404.832154791,992621.642513264,806958.403701804,880306.705637615,1271817.05065307,1739979.61013458,2243184.4160897,1508089.53601005,1815745.35059503,1398422.21798963,3685857.17016835,2821990.43087152,2882169.01778626,3943947.31555028,996699.798887993,2828293.2931822,1115516.0238962,589684.251525479,1038267.54741938,672272.128071039,1916034.31396845,1302575.50209138,5466901.93787522,5487776.21410418,1350738.86043445,1260292.16781169,1529748.6031503,3850554.95048327,3563988.92155502,1483421.98542577,4183167.32672232,3786099.22636887,1526470.28588116,1632259.86971788,828172.813745349,1474885.32165981,1477002.04428478,1624475.00737173,1089924.59600787,1696411.52785324,1700261.76242636,393310.512031455,1401574.58814811,1516901.99548465,2173716.76476714,378493.557239292,4579331.94608291,984623.156594247,0,3188222.98586613,572727.109001511,1492049.66640617,1068615.47181974
"Wrangell_–St._Elias",4999758.95664927,8754297.04937594,3339214.81239904,3222720.75821185,4539399.02826068,6038588.02991784,3434314.74763182,3331393.34641123,3368826.76194277,3313976.04593063,4199186.99285245,3412167.24459057,5246818.47998557,2408597.61256096,4548085.82064544,3276693.32617459,511740.484570984,5988846.32212689,6024969.59751415,927174.718578687,2219968.18016263,394859.771139193,3481089.16709655,2813932.04757138,3104515.82398066,3616778.31197882,4928036.21372729,4204101.37628454,4618397.2828072,4747995.09925433,4533267.92613723,3612990.87993382,3559790.11443532,778729.067907345,436447.35367765,3155984.13557618,1101799.91166274,615842.302451883,2675762.11953076,4656676.97215024,3531183.25382764,2042423.65069335,1894902.43997445,1866654.49223669,3678749.88967875,3098336.45530114,2508605.47538422,3365969.58810373,3927710.85412878,3188989.70511725,4954569.69242231,2904816.99658327,7556905.8096311,3348844.44294728,3188222.98586613,0,2750543.52332684,3017028.49361882,3321081.01381503
"Yellowstone",3320963.92272774,8926963.9894826,663523.927974462,645418.874613342,1824601.12104543,3447500.80973349,709925.54485353,795118.106780697,714027.337335074,714630.417450159,1480193.61901428,1405185.81210628,2812048.23919599,949745.79317834,2376611.41538203,1072946.43996204,3259023.84602588,3339138.56790471,3414581.76467381,3567899.31188816,538371.023161369,2372203.84814094,960742.303917557,99766.6100380625,700415.73949383,871205.886282694,2485868.4741985,1493880.68442538,4948735.8652728,4979351.4924298,1865474.08873785,1724628.11596902,1289621.74114635,3364871.46717505,3097899.27501516,1101303.0897412,3795402.71251682,3327554.4173573,1011094.65343313,2202690.87161407,843054.389315996,908518.465794082,935191.307017008,1066503.24787136,1062645.84008635,1274744.99806017,1158059.23634485,617533.588790062,1374795.71129693,1141686.57144364,2742364.39564024,607249.907461377,5141695.63433633,1413318.24838648,572727.109001511,2750543.52332684,0,1064548.98413627,840316.337998495
"Yosemite",4292565.41051477,7881044.19612214,872736.17403945,1573144.72282059,1780739.30037459,3936410.02595396,1033101.57167928,645219.169316513,839953.491781235,731478.67501204,1508481.93212823,425301.550058967,3499558.23720528,609983.229277062,3254165.05703971,296700.431301148,3514997.58433659,3753434.73986819,3881097.23169163,3931331.3561507,1299005.48600344,2624496.76204666,683583.51612572,983462.221935043,471257.59266967,1229787.03668346,3197287.10866574,1486923.19238441,4001878.16295521,4012162.7555021,2397266.40182391,2743994.90491494,554755.968824599,3429176.48986583,3249011.13155722,142197.628923707,4118819.22811133,3486007.68555493,343167.42460313,2934602.95805597,974410.766155364,1020904.7803146,1217778.52961365,1174530.16987106,922435.128497049,210409.640278818,546050.870634379,1234408.75852673,1028075.69427253,172000.008145088,3571167.07437358,1660680.04723034,5709496.0165783,2448198.24813633,1492049.66640617,3017028.49361882,1064548.98413627,0,572073.05404066
"Zion",3808554.05821498,8317277.77553932,341745.956894275,1144035.91889603,1277165.8285008,3366381.19393434,488768.872120859,82566.0053726855,292305.049921999,193435.676335388,972180.391803495,682469.491662373,2934862.67137437,992807.852488599,2734539.69110394,356252.950121436,3830999.58176261,3188389.48537756,3312267.15191387,4203431.29383621,1282476.23203909,2926963.64852125,160166.925462925,740595.538871871,216679.686162698,667302.887131945,2637374.12438373,958669.613913817,4537105.88251907,4537624.32953963,1826324.54582986,2322097.68278087,468242.34674404,3821534.97084519,3605182.74403545,491736.483744506,4411364.60068402,3842466.44028816,813975.164088893,2380238.27857843,404299.141842058,1281555.87258224,1430080.91652171,1461090.55062172,384587.0654318,727565.649722573,1042044.53074158,733450.019008224,608526.920902931,510598.5026923,3032405.59424292,1334533.26584737,5138006.75425859,2053238.55140426,1068615.47181974,3321081.01381503,840316.337998495,572073.05404066,0
